metric,value,unit,status,source_type,notes
curriculum_enabled_domains,24,domains,recorded,direct,"Enabled research domains at the recorded checkpoint."
daily_learning_timer_installed,true,boolean,recorded,direct,"Operating-system daily-learning timer installed."
daily_learning_timer_enabled,true,boolean,recorded,direct,"Daily-learning timer enabled."
daily_learning_default_time,02:00,approx_local_time,recorded,direct,"Source describes the default cycle as approximately 02:00."
background_worker_interval,5,minutes,recorded,direct,"Lifecycle workers scheduled on a five-minute cadence."
first_daily_learning_status,complete,state,recorded,direct,"First recorded zero-user learning run completed."
first_run_public_research_requests_queued,4,requests,recorded,direct,"Queued public research requests from the first production run."
maximum_verification_age_ceiling,30,days,recorded,direct,"Additional maximum age safeguard; semantic freshness classes remain differentiated."
automatic_public_research_publication,false,boolean,recorded,direct,"Hard off; public research remains human-reviewed."
blind_trusted_knowledge_promotion,false,boolean,recorded,direct,"Hard off; research quotas do not imply card-production quotas."
readiness_audit_failures,0,count,recorded,direct,"Production lock-in readiness audit."
readiness_audit_warnings,1,count,recorded,direct,"Single non-blocking warning: external S3-compatible storage not configured."
readiness_audit_result,PASS WITH WARNINGS,state,recorded,direct,"Local encrypted artifact storage remained active."
full_downstream_lifecycle_universally_verified,false,boolean,boundary,direct,"Source explicitly states the first run does not prove every queued request completes every downstream stage."
bulk_curriculum_importer_implemented,false,boolean,boundary,direct,"Bulk curriculum ingestion is described as planned next work."
learning_operations_dashboard_implemented,false,boolean,boundary,direct,"Dedicated Learning Operations dashboard is future work."
